name,lat,lon
クスリのアオキ森田店,36.115500,136.229600
Fit Care DEPOT,35.535564,139.588317
ココカラファイン,35.771700,139.519282
ドラッグ スギヤマ,35.154036,136.896469
ドラッグてらしま,36.051917,139.886970
ドラッグてらしま,36.303318,139.864589
サンドラッグ,36.305574,139.868274
ドラッグてらしま,36.193899,139.810841
ドラッグてらしま,36.200461,139.824700
ドラッグてらしま,36.365817,140.105019
ドラッグてらしま,36.364457,140.113480
welcia,36.084251,140.096627
welcia,36.177382,140.084855
ドラッグてらしま,36.064752,140.115965
ドラッグてらしま,36.065578,140.149668
welcia,36.100676,140.046627
ウェルシア,36.135713,140.084408
ココカラファイン,35.709259,139.635373
ハックドラッグ横浜根岸店,35.416778,139.634567
マツモトキヨシ,36.092375,140.209622
ツルハドラッグ,36.006859,140.164196
ウエルシア薬局,36.091966,140.203041
ドラッグてらしま,36.119130,140.174939
welcia,36.087386,140.188015
ドラッグてらしま,36.076933,140.185745
ウエルシア,36.201863,140.285638
ドラッグてらしま,36.031607,140.172891
ツルハドラッグ,35.145880,136.827220
スギ薬局,34.714110,135.584990
スギ薬局常滑店,34.887207,136.842731
スギ薬局,35.731460,139.332162
ジップドラッグ,34.844468,136.601926
ウェルパーク,35.748519,139.324999
サツドラ,43.102421,141.526515
ツルハドラッグ,43.094376,141.521107
ツルハドラッグ,43.088242,141.533322
ツルハドラッグ,43.111048,141.530109
サンドラッグ,35.744807,139.328051
ココカラファイン薬局,35.600122,139.508759
ドラッグストアウェルネス　西伯店,35.356218,133.330049
ドラッグセガミ,35.693522,139.640339
ココカラファイン,35.705313,139.619941
ココカラファイン,35.705116,139.618731
ココカラファイン,35.704125,139.621257
ココカラファイン,35.651542,139.635900
ドラッグセガミ,35.786626,139.674473
ドラッグセガミ,35.790112,139.666566
ドラッグセガミ,35.605632,139.733922
ウエルシア (WELCIA),36.117941,139.799342
ウェルパーク,35.739840,139.329064
マツモトキヨシ,35.744197,139.505915
ツルハドラッグ,36.086811,140.085036
ウェルシア,35.943714,140.155594
ドラッグてらしま,35.891928,140.077811
ドラッグてらしま,35.995566,140.040591
ドラッグてらしま,36.024472,140.174536
どらっぐぱぱす,35.629154,139.744549
くすりのセイジョー,36.194331,140.283923
ザグザグ,34.713278,134.107409
ヤックスドラッグ,35.749039,140.823665
ドラッグてらしま,36.155203,140.521667
ツルハドラッグ,36.153574,140.522692
ドラッグてらしま,36.214216,140.477380
ドラッグてらしま,36.018880,140.500554
ツルハドラッグ,43.181466,141.764130
B&Dドラッグストア,35.204349,136.902684
スギ薬局,35.151077,136.894552
スギ薬局,35.169133,136.914233
スギ薬局,35.154348,136.906665
クリエイト 町田南大谷店,35.555839,139.456052
ココカラファイン,35.655666,139.653393
ココカラファイン,35.647028,139.623549
ドラッグてらしま,37.846822,140.602610
ドラッグてらしま,37.814774,140.551546
ウエルシア 伊達掛田店,37.783999,140.589428
ドラッグてらしま,37.791429,140.484135
Nalelu 城西店,35.191102,136.899632
ゴダイドラッグ,34.915612,134.738456
サンドラッグ,36.994495,140.905295
ドラッグてらしま,37.293382,140.622111
ドラッグセイムス,35.720174,139.324298
クリエイト,35.729487,139.329794
みづほ,36.079298,140.203730
ウエルシア薬局,35.532619,139.434175
ドラッグセガミ,35.561650,139.716707
ドラッグセガミ,35.586314,139.728155
ドラッグセガミ,35.589226,139.727597
ドラッグセガミ,35.590300,139.728443
カワチ薬品,35.668690,138.557942
ヤックスドラッグ,35.718364,140.836269
マツモトキヨシ ザ・マーケットプレイス佐倉店,35.719240,140.191541
ドラッグユタカ,34.886830,135.768486
マツモトキヨシ,35.666157,139.640719
ウェルパーク,35.751170,139.640405
ウェルネス,35.450710,133.335889
スギ薬局,35.169339,136.910447
welcia,35.551478,139.728769
くすりの福太郎,35.620211,139.727234
ツルハドラッグ,35.625350,139.730079
スギ薬局,34.670844,135.511821
ひまわり,34.940845,135.703062
クスリのアオキ(Kusuri-no-Aoki),36.895738,136.793985
welcia,35.780308,139.797192
ドラックセイムス,35.774816,139.836016
ドラッグぱぱす,35.766791,139.809494
どらっくぱぱす,35.793500,139.787881
ウエルシア,35.796585,139.794874
ココカラファイン,35.706588,139.635898
ドラッグセイムス,35.808314,139.762816
マツモトキヨシ,35.991224,139.564713
