"name","lat","lon","A_in_2km","competitor_groups_2km","comp_stores_2km","is_competing_shoken","is_concern","category"
"杏林堂薬局 志都呂店",34.6988945,137.66450849999998,2,8,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア H＆B Special 泉店",34.7453461,137.7187146,0,7,8,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂薬局 メイワンエキチカ店",34.7041687,137.734452,2,13,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 ピーワンプラザ天王店",34.735206,137.765529,1,7,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 上島駅前店",34.7414293,137.7467278,1,4,5,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 新津店",34.7215531,137.742147,1,3,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 伝馬町店",34.7062642,137.7285302,2,9,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 上西店",34.7251435,137.7523136,2,5,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 遠州病院前店",34.7130785,137.7352673,2,8,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 労災病院前店",34.7154545,137.7556391,1,6,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 小豆餅店",34.754478399999996,137.7316301,0,7,7,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂ドラッグストア 新初生店",34.7725301,137.7243645,5,12,14,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 ハーバル薬局",34.776939,137.7416388,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 浜松医大調剤センター",34.770905899999995,137.7440373,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 竜洋店",34.6733274,137.8155065,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂ドラッグストア 竜洋店駐車場",34.673605800000004,137.8154085,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂ドラッグストア 豊田駅前店",34.7144562,137.8194332,0,3,3,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂ドラッグストア 中郡店",34.7699849,137.7829971,0,8,8,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂ドラッグストア 新原店",34.813908,137.7831917,0,6,6,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂薬局 弘済堂薬局",34.850192199999995,137.8117696,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 飯田川路店",35.447777599999995,137.8132292,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂薬局 上岡田店",34.7047253,137.8499755,0,11,13,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂ドラッグストア 鳥之瀬店",34.711721499999996,137.8610316,0,16,17,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂薬局 磐田市立病院前店",34.766853,137.856279,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 飯田駅前店",35.5196555,137.8225987,1,10,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 飯田西鼎店",35.5072459,137.8372211,1,10,12,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 岩井店",34.7403838,137.8777475,1,8,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 西貝塚店",34.719322399999996,137.8729137,1,13,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 袋井西田店",34.7416391,137.9127483,2,8,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 森町店",34.8241474,137.91959939999998,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 袋井国本店",34.7562231,137.9339258,1,2,2,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 掛川物流センター",34.7783284,138.0591459,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂ドラッグストア 小笠店",34.7013406,138.0944016,1,3,3,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 菊川病院前店",34.7345931,138.0983437,4,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂薬局 浜岡店",34.6353915,138.1306429,1,3,3,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 浜岡店 店外トイレ",34.6354654,138.1303324,1,3,3,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 島田駅南店",34.829330299999995,138.17124719999998,4,12,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア藤枝駅北店",34.852199399999996,138.24668830000002,4,10,12,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 藤枝駅北店",34.8512158,138.24710199999998,4,10,12,TRUE,FALSE,"競争維持(競争者2グループ以上)"
